Company name,ASX code,GICS industry group,GICS Industry (Sub-Level),Share Price (AUD),Market Cap (Billion AUD),Outstanding Shares (Billion)
GULLEWA LIMITED,GUL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
GUMTREE AUSTRALIA MARKETS LIMITED,GUM,Media & Entertainment,Media; Entertainment,,,
GUZMAN Y GOMEZ LIMITED,GYG,Consumer Services,"Hotels, Restaurants & Leisure",,,
GWA GROUP LIMITED.,GWA,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
GWR GROUP LIMITED,GWR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
H&G HIGH CONVICTION LIMITED,HCF,Not Applic,Other/Not Applicable,,,
H3 ENERGY LIMITED,H3E,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
HALO TECHNOLOGIES HOLDINGS LTD,HAL,Financial Services,Diversified Financials; Capital Markets,,,
HAMELIN GOLD LIMITED,HMG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
HAMMER METALS LIMITED,HMX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
HANSEN TECHNOLOGIES LIMITED,HSN,Software & Services,IT Services; Software,,,
HARANGA RESOURCES LIMITED.,HAR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
HARMONEY CORP LIMITED,HMY,Financial Services,Diversified Financials; Capital Markets,,,
HARRIS TECHNOLOGY GROUP LIMITED,HT8,Transportation,Air Freight & Logistics; Airlines; Road & Rail,,,
HARTSHEAD RESOURCES NL,HHR,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
HARVEST TECHNOLOGY GROUP LTD,HTG,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
HARVEY NORMAN HOLDINGS LIMITED,HVN,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
HASTINGS TECHNOLOGY METALS LTD,HAS,Materials,Chemicals; Construction Materials; Metals & Mining,,,
HAVILAH RESOURCES LIMITED,HAV,Materials,Chemicals; Construction Materials; Metals & Mining,,,
HAWK RESOURCES LIMITED.,HWK,Materials,Chemicals; Construction Materials; Metals & Mining,,,
HAWSONS IRON LTD,HIO,Materials,Chemicals; Construction Materials; Metals & Mining,,,
HAWTHORN RESOURCES LIMITED,HAW,Materials,Chemicals; Construction Materials; Metals & Mining,,,
HAZER GROUP LIMITED,HZR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
HEALIUS LIMITED,HLS,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
HEALTHCO HEALTHCARE AND WELLNESS REIT,HCW,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
HEARTLAND GROUP HOLDINGS LIMITED,HGH,Banks,Banks,,,
HEARTS AND MINDS INVESTMENTS LIMITED,HM1,Not Applic,Other/Not Applicable,,,
HEAVY MINERALS LIMITED,HVY,Materials,Chemicals; Construction Materials; Metals & Mining,,,
HEAVY RARE EARTHS LIMITED,HRE,Materials,Chemicals; Construction Materials; Metals & Mining,,,
HELIA GROUP LIMITED,HLI,Financial Services,Diversified Financials; Capital Markets,,,
HELIOS ENERGY LTD,HE8,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
HELIX RESOURCES LIMITED,HLX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
HELLOWORLD TRAVEL LIMITED,HLO,Consumer Services,"Hotels, Restaurants & Leisure",,,
HERAMED LIMITED,HMD,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
HEXIMA LIMITED.,HXL,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
HIGH PEAK ROYALTIES LIMITED,HPR,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
HIGH-TECH METALS LTD,HTM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
HIGHCOM LIMITED,HCL,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
HIGHFIELD RESOURCES LIMITED,HFR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
HILLGROVE RESOURCES LIMITED,HGO,Materials,Chemicals; Construction Materials; Metals & Mining,,,
HIPAGES GROUP HOLDINGS LTD,HPG,Media & Entertainment,Media; Entertainment,,,
HIREMII LIMITED,HMI,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
HITECH GROUP AUSTRALIA LIMITED,HIT,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
HITIQ LIMITED,HIQ,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
HMC CAPITAL LIMITED,HMC,Financial Services,Diversified Financials; Capital Markets,,,
HOLISTA COLLTECH LIMITED,HCT,Household & Personal Products,Household Products; Personal Products,,,
HOMECO DAILY NEEDS REIT,HDN,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
HORIZON GOLD LIMITED,HRN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
HORIZON MINERALS LIMITED,HRZ,Materials,Chemicals; Construction Materials; Metals & Mining,,,
HORIZON OIL LIMITED,HZN,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
HORSESHOE METALS LIMITED,HOR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
HOT CHILI LIMITED,HCH,Materials,Chemicals; Construction Materials; Metals & Mining,,,
HOUSEHOLD CAPITAL 2025-1 RMBS TRUST,HC1,Not Applic,Other/Not Applicable,,,
HUB24 LIMITED,HUB,Financial Services,Diversified Financials; Capital Markets,,,
HUBIFY LIMITED,HFY,Telecommunication Services,Diversified Telecommunication Services,,,
HUMM GROUP LIMITED,HUM,Financial Services,Diversified Financials; Capital Markets,,,
HYDRIX LIMITED,HYD,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
HYDROCARBON DYNAMICS LIMITED,HCD,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
HYTERRA LTD,HYT,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
I SYNERGY GROUP LIMITED,IS3,Software & Services,IT Services; Software,,,
"IBERDROLA FINANZAS, S.A.U.",IF1,Not Applic,Other/Not Applicable,,,
ICENI GOLD LIMITED,ICL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ICETANA LIMITED,ICE,Software & Services,IT Services; Software,,,
IDENTITII LIMITED,ID8,Software & Services,IT Services; Software,,,
IDP EDUCATION LIMITED,IEL,Consumer Services,"Hotels, Restaurants & Leisure",,,
IDT AUSTRALIA LIMITED,IDT,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
IGNITE LIMITED,IGN,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
IGO LIMITED,IGO,Materials,Chemicals; Construction Materials; Metals & Mining,,,
IKEGPS GROUP LIMITED,IKE,Technology Hardware & Equipment,Communications Equipment; Electronic Equipment,,,
ILTANI RESOURCES LIMITED.,ILT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
ILUKA RESOURCES LIMITED,ILU,Materials,Chemicals; Construction Materials; Metals & Mining,,,
IMAGE RESOURCES NL,IMA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
IMAGION BIOSYSTEMS LIMITED,IBX,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
IMDEX LIMITED,IMD,Materials,Chemicals; Construction Materials; Metals & Mining,,,
IMEXHS LIMITED,IME,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
IMMURON LIMITED,IMC,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
IMMUTEP LIMITED,IMM,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
IMPACT MINERALS LIMITED,IPT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
IMPEDIMED LIMITED,IPD,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
IMPERIAL PACIFIC LIMITED,IPC,Financial Services,Diversified Financials; Capital Markets,,,
IMRICOR MEDICAL SYSTEMS INC.,IMR,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
IMUGENE LIMITED,IMU,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
INCOME ASSET MANAGEMENT GROUP LIMITED.,IAM,Financial Services,Diversified Financials; Capital Markets,,,
INDIANA RESOURCES LIMITED,IDA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
INDUSTRIAL BANK OF KOREA.,IBK,Not Applic,Other/Not Applicable,,,
INDUSTRIAL MINERALS LTD,IND,Materials,Chemicals; Construction Materials; Metals & Mining,,,
INFINI RESOURCES LIMITED,I88,Materials,Chemicals; Construction Materials; Metals & Mining,,,
INFINITY METALS LIMITED,INF,Materials,Chemicals; Construction Materials; Metals & Mining,,,
INFINITY MINING LIMITED,IMI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
INFOCUS GROUP HOLDINGS LIMITED,IFG,Software & Services,IT Services; Software,,,
INFOTRUST LTD,ITS,Software & Services,IT Services; Software,,,
INFRAGREEN GROUP LIMITED,IFN,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
INFRATIL LIMITED.,IFT,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
INGENIA COMMUNITIES GROUP,INA,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
INGHAMS GROUP LIMITED,ING,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
INOVIQ LTD,IIQ,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
INSIGNIA FINANCIAL LTD,IFL,Financial Services,Diversified Financials; Capital Markets,,,
INTEGRAL DIAGNOSTICS LIMITED,IDX,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
INTEGRATED RESEARCH LIMITED,IRI,Software & Services,IT Services; Software,,,
INTELICARE HOLDINGS LIMITED,ICR,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
INTELLIGENT MONITORING GROUP LIMITED,IMB,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
INTERNATIONAL EQUITIES CORPORATION LIMITED.,IEQ,Real Estate Management & Development,Real Estate Management & Development,,,
INTERNATIONAL FINANCE CORPORATION,IFX,Not Applic,Other/Not Applicable,,,
INTERNATIONAL GRAPHITE LIMITED,IG6,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
INVERT GRAPHITE LIMITED,IVG,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
INVESTIGATOR SILVER LIMITED,IVR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
INVESTOR CENTRE LIMITED,ICU,Financial Services,Diversified Financials; Capital Markets,,,
INVESTSMART GROUP LIMITED,INV,Financial Services,Diversified Financials; Capital Markets,,,
INVEX THERAPEUTICS LTD,IXC,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
INVICTUS ENERGY LTD,IVZ,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
INVION LIMITED,IVX,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
IODM LIMITED,IOD,Software & Services,IT Services; Software,,,
ION VIDEO LTD,IOV,Software & Services,IT Services; Software,,,
IONDRIVE LIMITED,ION,Materials,Chemicals; Construction Materials; Metals & Mining,,,
IONEER LTD,INR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
IONIC RARE EARTHS LIMITED,IXR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
IPD GROUP LTD,IPG,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
IPERIONX LIMITED,IPX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
IPH LIMITED,IPH,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
IRESS LIMITED,IRE,Software & Services,IT Services; Software,,,
IRIS METALS LIMITED,IR1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
IRON BEAR RESOURCES LTD,IBR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
IRON ROAD LIMITED,IRD,Materials,Chemicals; Construction Materials; Metals & Mining,,,
IRONBARK BALANCED INCOME LIMITED,IBC,Not Applic,Other/Not Applicable,,,
ISLAND PHARMACEUTICALS LIMITED,ILA,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
ITECH MINERALS LTD,ITM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
IVE GROUP LIMITED,IGL,Media & Entertainment,Media; Entertainment,,,
JADE GAS HOLDINGS LIMITED,JGH,Materials,Chemicals; Construction Materials; Metals & Mining,,,
JAMES HARDIE INDUSTRIES PLC,JHX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
JAMESON RESOURCES LIMITED,JAL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
JANISON EDUCATION GROUP LIMITED,JAN,Software & Services,IT Services; Software,,,
JANUS ELECTRIC HOLDINGS LIMITED,JNS,Utilities,Electric Utilities; Gas Utilities; Renewables,,,
JATCORP LIMITED,JAT,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
JAVELIN MINERALS LIMITED,JAV,Materials,Chemicals; Construction Materials; Metals & Mining,,,
JAYRIDE GROUP LIMITED,JAY,Transportation,Air Freight & Logistics; Airlines; Road & Rail,,,
JB HI-FI LIMITED,JBH,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
JCURVE SOLUTIONS LTD,JCS,Software & Services,IT Services; Software,,,
JINDALEE LITHIUM LIMITED,JLL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
JOYCE CORPORATION LTD,JYC,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
JUDO CAPITAL HOLDINGS LIMITED,JDO,Banks,Banks,,,
JUMBO INTERACTIVE LIMITED,JIN,Consumer Services,"Hotels, Restaurants & Leisure",,,
JUNO MINERALS LIMITED,JNO,Materials,Chemicals; Construction Materials; Metals & Mining,,,
JUPITER ENERGY LIMITED,JPR,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
JUPITER MINES LIMITED.,JMS,Materials,Chemicals; Construction Materials; Metals & Mining,,,
K & S CORPORATION LIMITED,KSC,Transportation,Air Freight & Logistics; Airlines; Road & Rail,,,
K2 ASSET MANAGEMENT HOLDINGS LTD,KAM,Financial Services,Diversified Financials; Capital Markets,,,
KAILI RESOURCES LIMITED,KLR,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
KAIROS MINERALS LIMITED,KAI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
KAISER REEF LIMITED,KAU,Materials,Chemicals; Construction Materials; Metals & Mining,,,
KALAMAZOO RESOURCES LIMITED,KZR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
KALGOORLIE GOLD MINING LIMITED,KAL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
KALI METALS LIMITED,KM1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
KALINA POWER LIMITED,KPO,Utilities,Electric Utilities; Gas Utilities; Renewables,,,
KAOKO METALS LIMITED,KAO,Class Pend,Other/Not Applicable,,,
KAPSTREAM INVESTMENT TRUST,KIT,Class Pend,Other/Not Applicable,,,
KAROON ENERGY LTD,KAR,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
KATANA CAPITAL LIMITED,KAT,Not Applic,Other/Not Applicable,,,
KELLY PARTNERS GROUP HOLDINGS LIMITED,KPG,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
KELSIAN GROUP LIMITED,KLS,Transportation,Air Freight & Logistics; Airlines; Road & Rail,,,
KEY PETROLEUM LIMITED,KEY,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
KEYBRIDGE CAPITAL LIMITED,KBC,Financial Services,Diversified Financials; Capital Markets,,,
KFW,KFW,Not Applic,Other/Not Applicable,,,
KGL RESOURCES LIMITED,KGL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
KILLI RESOURCES LIMITED,KLI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
KINA SECURITIES LIMITED,KSL,Banks,Banks,,,
KINATICO LTD,KYP,Software & Services,IT Services; Software,,,
KINCORA COPPER LIMITED,KCC,Materials,Chemicals; Construction Materials; Metals & Mining,,,
KINETIKO ENERGY LTD,KKO,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
KING RIVER RESOURCES LIMITED,KRR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
KINGFISHER MINING LTD,KFM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
KINGFISHER TRUST 2016-1,KIG,Not Applic,Other/Not Applicable,,,
KINGFISHER TRUST 2019-1,KI1,Not Applic,Other/Not Applicable,,,
KINGSGATE CONSOLIDATED LIMITED.,KCN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
KINGSLAND MINERALS LTD,KNG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
KINGSROSE MINING LIMITED,KRM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
KINGSTON RESOURCES LIMITED,KSN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
KIP MCGRATH EDUCATION CENTRES LIMITED,KME,Consumer Services,"Hotels, Restaurants & Leisure",,,
KKR CREDIT INCOME FUND,KKC,Not Applic,Other/Not Applicable,,,
KLEVO REWARDS LIMITED,KLV,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
KMD BRANDS LIMITED,KMD,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
KNOSYS LIMITED,KNO,Software & Services,IT Services; Software,,,
KOBA RESOURCES LIMITED,KOB,Materials,Chemicals; Construction Materials; Metals & Mining,,,
KOGAN.COM LTD,KGN,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
KOONENBERRY GOLD LIMITED,KNB,Materials,Chemicals; Construction Materials; Metals & Mining,,,
KORAB RESOURCES LIMITED,KOR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
KORE POTASH PLC,KP2,Materials,Chemicals; Construction Materials; Metals & Mining,,,
KORVEST LTD,KOV,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
KRAKATOA RESOURCES LIMITED,KTA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
KUNIKO LIMITED,KNI,Materials,Chemicals; Construction Materials; Metals & Mining,,,
L1 GLOBAL LONG SHORT FUND LIMITED,GLS,Not Applic,Other/Not Applicable,,,
L1 GOLD FUND LIMITED,LGF,Class Pend,Other/Not Applicable,,,
L1 GROUP LIMITED,L1G,Financial Services,Diversified Financials; Capital Markets,,,
L1 LONG SHORT FUND LIMITED,LSF,Not Applic,Other/Not Applicable,,,
LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2022-2,LT9,Not Applic,Other/Not Applicable,,,
LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2023-1,LR1,Not Applic,Other/Not Applicable,,,
LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2023-2,LR4,Not Applic,Other/Not Applicable,,,
LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2024-1,LR3,Not Applic,Other/Not Applicable,,,
LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2024-2,LR5,Not Applic,Other/Not Applicable,,,
LA TROBE FINANCIAL CAPITAL MARKETS TRUST 2024-3,LR6,Not Applic,Other/Not Applicable,,,
LA TROBE PRIVATE CREDIT FUND,LF1,Not Applic,Other/Not Applicable,,,
LACHLAN STAR LIMITED,LSA,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LAKE RESOURCES N.L.,LKE,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LAKES BLUE ENERGY NL,LKO,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
LARAMIDE RESOURCES LTD,LAM,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
LARK DISTILLING CO. LTD,LRK,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
LARVOTTO RESOURCES LIMITED,LRV,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LASERBOND LIMITED,LBL,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
LATITUDE 66 LIMITED,LAT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LATITUDE AUSTRALIA CREDIT CARD LOAN NOTE TRUST,LCN,Not Applic,Other/Not Applicable,,,
LATITUDE GROUP HOLDINGS LIMITED,LFS,Financial Services,Diversified Financials; Capital Markets,,,
LATROBE MAGNESIUM LIMITED,LMG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LCL RESOURCES LIMITED,LCL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LDR CAPITAL PROPERTY FUND,LED,Equity Real Estate Investment Trusts (REITs),Equity REITs,,,
LEEUWIN METALS LTD,LM1,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LEFROY EXPLORATION LIMITED,LEX,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LEGACY IRON ORE LIMITED,LCY,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LEGACY MINERALS HOLDINGS LIMITED,LGM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LEGEND MINING LIMITED,LEG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LENDLEASE GROUP,LLC,Real Estate Management & Development,Real Estate Management & Development,,,
LGI LIMITED,LGI,Utilities,Electric Utilities; Gas Utilities; Renewables,,,
LI-S ENERGY LIMITED,LIS,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
LIBERTY FINANCIAL GROUP,LFG,Financial Services,Diversified Financials; Capital Markets,,,
LIBERTY METALS LTD,LIB,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LIBERTY PRIME SERIES 2021-1,LP1,Not Applic,Other/Not Applicable,,,
LIFE360 INC.,360,Software & Services,IT Services; Software,,,
LIFESTYLE COMMUNITIES LIMITED,LIC,Real Estate Management & Development,Real Estate Management & Development,,,
LIGHT & WONDER INC.,LNW,Consumer Services,"Hotels, Restaurants & Leisure",,,
LIGHTNING MINERALS LTD,L1M,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LINCOLN MINERALS LIMITED,LML,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LINDIAN RESOURCES LIMITED,LIN,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LINDSAY AUSTRALIA LIMITED,LAU,Transportation,Air Freight & Logistics; Airlines; Road & Rail,,,
LINQ MINERALS LIMITED,LNQ,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LION ENERGY LIMITED,LIO,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
LION ROCK MINERALS LTD,LRM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LION SELECTION GROUP LIMITED.,LSX,Not Applic,Other/Not Applicable,,,
LION SERIES 2020-1 TRUST,LI8,Not Applic,Other/Not Applicable,,,
LION SERIES 2022-1 TRUST,LN1,Not Applic,Other/Not Applicable,,,
LION SERIES 2023-1 TRUST,LN2,Not Applic,Other/Not Applicable,,,
LION SERIES 2024-1 TRUST,LN3,Not Applic,Other/Not Applicable,,,
LIONTOWN LIMITED,LTR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LITCHFIELD MINERALS LIMITED,LMS,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LITHIUM ENERGY LIMITED,LEL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LITHIUM PLUS MINERALS LTD.,LPM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LITHIUM UNIVERSE LIMITED,LU7,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LITTLE GREEN PHARMA LTD,LGP,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
LIVIUM LTD,LIT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LLOYDS BANKING GROUP PLC,LO1,Not Applic,Other/Not Applicable,,,
LOCALITY PLANNING ENERGY HOLDINGS LIMITED,LPE,Utilities,Electric Utilities; Gas Utilities; Renewables,,,
LOCKSLEY RESOURCES LIMITED,LKY,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LODE RESOURCES LTD,LDR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LODESTAR MINERALS LIMITED,LSR,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LONDON CITY EQUITIES LIMITED,LCE,Financial Services,Diversified Financials; Capital Markets,,,
LORD RESOURCES LIMITED,LRD,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LOTUS RESOURCES LIMITED,LOT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LOVE GROUP GLOBAL LTD,LVE,Software & Services,IT Services; Software,,,
LOVISA HOLDINGS LIMITED,LOV,Consumer Discretionary Distribution & Retail,Distributors; Multiline Retail; Specialty Retail,,,
LOWELL RESOURCES FUND,LRT,Not Applic,Other/Not Applicable,,,
LOYAL METALS LTD,LLM,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LTR PHARMA LIMITED,LTP,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology; Pharmaceuticals,,,
LUMOS DIAGNOSTICS HOLDINGS LIMITED,LDX,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
LUNNON METALS LIMITED,LM8,Materials,Chemicals; Construction Materials; Metals & Mining,,,
LYCOPODIUM LIMITED,LYL,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
M3 MINING LIMITED,M3M,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MA CREDIT INCOME TRUST,MA1,Not Applic,Other/Not Applicable,,,
MA CREDIT PORTFOLIO HOLDINGS LIMITED,MA2,Not Applic,Other/Not Applicable,,,
MA FINANCIAL GROUP LIMITED,MAF,Financial Services,Diversified Financials; Capital Markets,,,
MA MONEY RESIDENTIAL SECURITISATION TRUST 2025-1,ML2,Not Applic,Other/Not Applicable,,,
MAAS GROUP HOLDINGS LIMITED,MGH,Capital Goods,Aerospace & Defense; Building Products; Machinery,,,
MACALLUM NEW ENERGY LIMITED,MNE,Energy,"Energy Equipment & Services; Oil, Gas & Consumable Fuels",,,
MACARTHUR MINERALS LIMITED,MIO,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MACH7 TECHNOLOGIES LIMITED,M7T,Health Care Equipment & Services,Health Care Equipment & Supplies; Health Care Providers,,,
MACMAHON HOLDINGS LIMITED,MAH,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MACQUARIE BANK LIMITED,MBL,Not Applic,Other/Not Applicable,,,
MACQUARIE TECHNOLOGY GROUP LIMITED,MAQ,Software & Services,IT Services; Software,,,
MACRO METALS LIMITED,M4M,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MADER GROUP LIMITED,MAD,Commercial & Professional Services,Commercial Services & Supplies; Professional Services,,,
MAGELLAN FINANCIAL GROUP LIMITED,MFG,Financial Services,Diversified Financials; Capital Markets,,,
MAGGIE BEER HOLDINGS LTD,MBH,"Food, Beverage & Tobacco",Beverages; Food Products; Tobacco,,,
MAGMATIC RESOURCES LIMITED,MAG,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MAGNETIC RESOURCES NL,MAU,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MAGNETITE MINES LIMITED.,MGT,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MAGNUM MINING AND EXPLORATION LIMITED,MGU,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MAGONTEC LIMITED,MGL,Materials,Chemicals; Construction Materials; Metals & Mining,,,
MAMBA EXPLORATION LIMITED,M24,Materials,Chemicals; Construction Materials; Metals & Mining,,,
